选项ID	选项内容	选项消耗，对应cost.txt		失败概率（万分比），不填就是必成功（强制映射成功提示），填10000就是必失败		成功提示	成功奖励		失败提示	失败奖励(失败一般没奖励，如果填了，也有奖励)							
271	正好，趁机邀请他来我们这里					商鞅接受了邀请，顺便送给了你收藏的宝物	13000012									铜币	
272	身份证明？我们也试试					新政策实行后，城内治安大大提高，百姓送上礼物感谢你	13000013									石料	
281	那就让我领教一下赵括					你成功驳倒了赵括，获得廉颇赠送的礼物	13000012									铜币	
282	这种时候，应该以和为贵					你说服廉颇与赵括和好，赵括很感谢你，送上一件礼物	13000013									石料	
291	给他找个大夫					大夫治好了书生，书生将传家宝物送给你，表示感谢	13000012									铜币	
292	把他送回家					书生的父母一直在四处找他，对你的义举十分感激	13000011									君主	
293	我也要试试			1000		你在树上发现一件宝物，原来书生是想要找这个	13000013		你什么也没钓到，反而遭到了书生嘲笑							石料	
301	让手下将领引以为戒					你的将领关系变得十分融洽，在战斗中大获全胜，缴获一批物资	13000012									铜币	
302	军机大事，怎能私下议论					你下令处罚士兵，君主威严得到提高	13000011									君主	
303	荀偃没有错，是手下太傲慢			1000		荀偃听说此事后，送给你一件礼物	13000013		你的将领认为你也很傲慢							石料	
311	陈轸的计策有些道理，晚点再出兵			1000		魏国、韩国大战后遭到突袭，只能割地赔款，秦王分给你一部分战利品	13000012		两国和谈，秦国错失良机，什么也没有得到							铜币	
312	机不可失，立刻出兵才是上策					秦国大败魏国、韩国，你也在战斗中获得一些战利品	13000013									石料	
321	请我做主？我看还是请个大夫吧					你请大夫治好了年轻人，他的家人对你很感激	13000011									君主	
322	派人帮他把剑捞出来					士兵将剑捞出，还在水底发现一些东西	13000013									石料	
323	好好开导一番年轻人					年轻人意识到自己的错误，十分感谢你，送给你一件礼物	13000012									铜币	
331	买！买！买					你用老马带路，进攻北戎，获得了大量战利品	13000013									石料	
332	也许，我们的老马不比它差					你派人从城内挑选老马，高价出售给了其他人	13000012									铜币	
333	我们的目标是——北戎					你也派兵进攻北戎，获得了大量战利品	13000013									石料	
341	请他帮忙训练我们的将领					我方将领势力提升，临行前，更羸还留下一份礼物	13000012									铜币	
342	想要表演，先交租地费					更赢被迫缴纳了租地费	13000012									铜币	
343	有胆和我比一比			1000		你战胜了更赢，获得了他的宝物	13000013		你太小看更赢，大败而归							石料	
351	年轻人有热情，值得表扬					众人感谢你的支持，将打猎时获发现的东西献给了你	13000013									石料	
352	这样会糟蹋农田，下令禁止					农田得到保护，今年又是大丰收	13000012									铜币	
353	胡服骑射？我们也要这样					你下令士兵胡服骑射，成功击败了入侵的流寇，缴获战利品	13000012									铜币	
361	怎么能光着膀子上街，罚钱					廉颇承认了错误，并接受惩罚	13000011									君主	
362	大丈夫不拘小节					廉颇认为你是明主，送给你一件礼物	13000012									铜币	
371	乱丢东西，罚他去农场工作					年轻人认真检讨了自己的过错，并超额完成了工作	13000011									君主	
372	小事而已，派人交还年轻人					年轻人很感谢你，将钓鱼时发现的东西献给了你	13000013									石料	
381	请他个给武将传授经验					我方武将经过传授，掌握了训练士兵的方法	13000011									君主	
382	那样的训练太严苛了					你的做法得到武将们称赞	13000011									君主	
391	不能随便破坏环境					伍参和子朝被迫缴纳了罚款	13000012									铜币	
392	我也加入他们					你与伍参和子朝一起谈话，获益良多	13000011									君主	
393	正好，我这里有酒					伍参、子朝拿出身上的物品，交换了你的酒	13000013									石料	
401	哦，也许我们可以赶制一批地图					你把地图卖给了刺客门，大赚了一笔	13000012									铜币	
402	有问题坐下来解决，不能行凶					在你的劝解下，一大批刺客改邪归正，并送上礼物感谢你	13000013									石料	
411	帮他请个大夫好了					年轻人原来犯了疯病，他恢复过来后很感谢你	13000011									君主	
412	告诫武将们不要盲目学习别人					你的武将听从了你的话，对你更加尊崇	13000011									君主	
421	向晏子虚心求教					你从晏子那里学到了许多东西	13000011									君主	
422	请晏子来训练武将					经过训练，武将的实力得到提升	13000011									君主	
423	让武将引以为戒，不得骄横					百姓们称赞你爱民如子，献给你礼物	13000011									君主	
431	知错能改值得表扬，帮他一把					你的善举得到百姓称赞	13000011									君主	
432	引以为戒，平时要多注意周围					武将听从你的建议，加固了城防，并在城墙下意外发现一批资源	13000013									石料	
441	好榜样，让大家也都和睦相处					百姓们和睦相处，耕作效率大幅度提高，我们获得了许多资源	13000012									铜币	
442	正好买点水果，分给武将					武将们十分欢喜，对你交口称赞	13000011									君主	
451	请柳下惠来府中作客					你与柳下惠相谈甚欢，临行前他送给你一件礼物	13000013									石料	
452	让武将们向柳下惠学习					经过学习，你的武将成长了许多。	13000011									君主	
461	有点道理，立刻加固河堤					不久后果然爆发了洪水，多亏河堤将水挡住，你的手下都很敬佩你	13000011									君主	
462	言论自由，随他去吧					你的开明受到百姓拥戴，百姓为你献上礼物	13000013									石料	
471	大师应该不会错					大师认为你是懂得艺术的人，送给你一件礼物	13000012									铜币	
472	蛇怎么会有脚？多余					你坚持实事求是的做法，得到武将称赞	13000011									君主	
473	两个人各有各的风格罢了					你主张艺术自由，百姓们都很高兴	13000011									君主	
481	可怜的家伙，给他抚恤金					你的举动令武将对你更加尊敬	13000011									君主	
482	下令调查柴草着火的原因					你找出了放火的凶手，男子很感谢你，送给你一件礼物	13000013									石料	
491	班门弄斧这种事可做不得					你下令把卖艺的男子赶走，鲁班厚礼相谢	13000012									铜币	
492	街道属于公家，门卫无权过问					你的举动得到百姓称赞	13000011									君主	
493	小事而已，劝他们和解					你成功令双方和解，武将们都很佩服你的口才	13000011									君主	
501	给那名男子请个大夫					大夫治好了男子，男子的家人很感谢你，送给你一件礼物	13000012									铜币	
502	亲自去教导那名男子					经过你的细心开导，男子明白了自己的过错，对你十分感激	13000011									君主	
